"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","duration","rating","adjustedDur","adjustedNum"
"30","PF000D0450",20,3,4,"P","0","0",6,"No","No"
"30","PF072D0450",21,3,5,"P","72","450",7,"No","Yes"
"30","PF072D0150",22,3,6,"P","72","150",8,"Yes","Yes"
"30","PF024D0450",23,3,7,"P","24","450",8,"No","No"
"30","PF008D1350",24,3,8,"P","8","1350",3,"Yes","Yes"
"31","ZF024D0150",1,1,1,"Z","24","150",0,"Yes","No"
"31","ZF008D0450",2,1,2,"Z","8","450",0,"No","Yes"
"31","ZF008D1350",3,1,3,"Z","8","1350",2,"Yes","Yes"
"31","ZF024D1350",4,1,4,"Z","24","1350",0,"Yes","No"
"31","ZF024D0450",5,1,5,"Z","24","450",0,"No","No"
"31","ZF000D0450",6,1,6,"Z","0","0",-1,"No","No"
"31","ZF072D0450",7,1,7,"Z","72","450",5,"No","Yes"
"31","ZF072D0150",8,1,8,"Z","72","150",4,"Yes","Yes"
"31","NF024D1350",9,2,1,"N","24","1350",1,"Yes","No"
"31","NF024D0150",10,2,2,"N","24","150",-1,"Yes","No"
"31","NF024D0450",11,2,3,"N","24","450",0,"No","No"
"31","NF072D0150",12,2,4,"N","72","150",0,"Yes","Yes"
"31","NF072D0450",13,2,5,"N","72","450",4,"No","Yes"
"31","NF008D0450",14,2,6,"N","8","450",-2,"No","Yes"
"31","NF008D1350",15,2,7,"N","8","1350",-1,"Yes","Yes"
"31","NF000D0450",16,2,8,"N","0","0",-1,"No","No"
"31","PF000D0450",17,3,1,"P","0","0",0,"No","No"
"31","PF024D0450",18,3,2,"P","24","450",8,"No","No"
"31","PF072D0150",19,3,3,"P","72","150",7,"Yes","Yes"
"31","PF008D0450",20,3,4,"P","8","450",6,"No","Yes"
"31","PF072D0450",21,3,5,"P","72","450",0,"No","Yes"
"31","PF024D0150",22,3,6,"P","24","150",0,"Yes","No"
"31","PF024D1350",23,3,7,"P","24","1350",0,"Yes","No"
"31","PF008D1350",24,3,8,"P","8","1350",8,"Yes","Yes"
"32","PF024D1350",1,1,1,"P","24","1350",8,"Yes","No"
"32","PF072D0450",2,1,2,"P","72","450",9,"No","Yes"
