"subject","condition","cond_order","rating","frequency","duration","delay"
"26","LongerDelay",4,4,"36","1350","3"
"26","Baseline",5,5,"36","450","0"
"26","NoneDelay",6,7,"0","0","3"
"26","More",7,-6,"108","450","0"
"26","BaselineDelay",8,-3,"36","450","3"
"26","JumboLonger",9,5,"36","4050","0"
"26","JumboMoreDelay",10,7,"324","450","3"
"26","JumboMore",11,-3,"324","450","0"
"26","Longer",12,4,"36","1350","0"
"27","JumboMoreDelay",1,8,"324","450","3"
"27","Baseline",2,3,"36","450","0"
"27","NoneDelay",3,4,"0","0","3"
"27","Longer",4,-2,"36","1350","0"
"27","MoreDelay",5,4,"108","450","3"
"27","JumboLongDelay",6,-4,"36","4050","3"
"27","None",7,-7,"0","0","0"
"27","JumboMore",8,7,"324","450","0"
"27","BaselineDelay",9,-1,"36","450","3"
"27","More",10,4,"108","450","0"
"27","LongerDelay",11,-2,"36","1350","3"
"27","JumboLonger",12,-3,"36","4050","0"
"28","JumboMoreDelay",1,5,"324","450","3"
"28","MoreDelay",2,6,"108","450","3"
"28","More",3,5,"108","450","0"
"28","JumboLonger",4,6,"36","4050","0"
"28","Baseline",5,5,"36","450","0"
"28","NoneDelay",6,4,"0","0","3"
"28","Longer",7,4,"36","1350","0"
"28","LongerDelay",8,3,"36","1350","3"
"28","BaselineDelay",9,5,"36","450","3"
"28","None",10,5,"0","0","0"
"28","JumboMore",11,6,"324","450","0"
"28","JumboLongDelay",12,5,"36","4050","3"
"29","JumboMoreDelay",1,0,"324","450","3"
"29","NoneDelay",2,1,"0","0","3"
"29","JumboLongDelay",3,6,"36","4050","3"
"29","JumboMore",4,1,"324","450","0"
"29","JumboLonger",5,2,"36","4050","0"
"29","LongerDelay",6,2,"36","1350","3"
"29","Longer",7,3,"36","1350","0"
"29","BaselineDelay",8,4,"36","450","3"
"29","Baseline",9,1,"36","450","0"
"29","More",10,1,"108","450","0"
"29","None",11,1,"0","0","0"
"29","MoreDelay",12,2,"108","450","3"
"30","Baseline",1,0,"36","450","0"
"30","LongerDelay",2,1,"36","1350","3"
"30","BaselineDelay",3,3,"36","450","3"
"30","None",4,-4,"0","0","0"
"30","JumboMore",5,7,"324","450","0"
"30","JumboLongDelay",6,-2,"36","4050","3"
"30","NoneDelay",7,-4,"0","0","3"
"30","MoreDelay",8,3,"108","450","3"
"30","More",9,4,"108","450","0"
"30","Longer",10,2,"36","1350","0"
"30","JumboMoreDelay",11,8,"324","450","3"
"30","JumboLonger",12,0,"36","4050","0"
"31","MoreDelay",1,7,"108","450","3"
"31","BaselineDelay",2,3,"36","450","3"
"31","LongerDelay",3,7,"36","1350","3"
"31","More",4,-1,"108","450","0"
"31","Baseline",5,6,"36","450","0"
"31","JumboLongDelay",6,0,"36","4050","3"
"31","JumboLonger",7,2,"36","4050","0"
"31","JumboMore",8,-5,"324","450","0"
"31","JumboMoreDelay",9,-3,"324","450","3"
"31","None",10,4,"0","0","0"
"31","Longer",11,2,"36","1350","0"
"31","NoneDelay",12,5,"0","0","3"
"32","None",1,-3,"0","0","0"
"32","Baseline",2,3,"36","450","0"
"32","JumboMoreDelay",3,7,"324","450","3"
"32","NoneDelay",4,-2,"0","0","3"
"32","LongerDelay",5,0,"36","1350","3"
"32","MoreDelay",6,3,"108","450","3"
"32","BaselineDelay",7,1,"36","450","3"
"32","JumboLonger",8,-1,"36","4050","0"
"32","JumboLongDelay",9,0,"36","4050","3"
"32","Longer",10,-1,"36","1350","0"
"32","JumboMore",11,8,"324","450","0"
"32","More",12,4,"108","450","0"
"33","JumboMore",1,2,"324","450","0"
"33","JumboLongDelay",2,0,"36","4050","3"
"33","JumboLonger",3,3,"36","4050","0"
"33","Baseline",4,0,"36","450","0"
"33","BaselineDelay",5,2,"36","450","3"
"33","JumboMoreDelay",6,5,"324","450","3"
