"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","rating"
"23","P000",12,3,4,"P","0",3
"24","N216",1,1,1,"N","216",-7
"24","N000",2,1,2,"N","0",-6
"24","N024",3,1,3,"N","24",-4
"24","N072",4,1,4,"N","72",-8
"24","P000",5,2,1,"P","0",7
"24","P072",6,2,2,"P","72",7
"24","P024",7,2,3,"P","24",6
"24","P216",8,2,4,"P","216",3
"24","Z072",9,3,1,"Z","72",0
"24","Z024",10,3,2,"Z","24",1
"24","Z216",11,3,3,"Z","216",0
"24","Z000",12,3,4,"Z","0",-2
"25","N000",1,1,1,"N","0",-7
"25","N024",2,1,2,"N","24",-9
"25","N216",3,1,3,"N","216",-10
"25","N072",4,1,4,"N","72",-7
"25","P000",5,2,1,"P","0",10
"25","P072",6,2,2,"P","72",7
"25","P216",7,2,3,"P","216",8
"25","P024",8,2,4,"P","24",6
"25","Z216",9,3,1,"Z","216",-1
"25","Z072",10,3,2,"Z","72",-4
"25","Z024",11,3,3,"Z","24",4
"25","Z000",12,3,4,"Z","0",2
"26","Z024",1,1,1,"Z","24",4
"26","Z072",2,1,2,"Z","72",3
"26","Z216",3,1,3,"Z","216",5
"26","Z000",4,1,4,"Z","0",4
"26","N024",5,2,1,"N","24",-5
"26","N000",6,2,2,"N","0",2
"26","N072",7,2,3,"N","72",-6
"26","N216",8,2,4,"N","216",NA
"26","P024",9,3,1,"P","24",8
"26","P216",10,3,2,"P","216",6
"26","P072",11,3,3,"P","72",7
"26","P000",12,3,4,"P","0",5
"27","N072",1,1,1,"N","72",-8
"27","N024",2,1,2,"N","24",-6
"27","N216",3,1,3,"N","216",-7
"27","N000",4,1,4,"N","0",-7
"27","Z216",5,2,1,"Z","216",4
"27","Z000",6,2,2,"Z","0",0
"27","Z072",7,2,3,"Z","72",3
"27","Z024",8,2,4,"Z","24",5
"27","P216",9,3,1,"P","216",8
"27","P024",10,3,2,"P","24",0
"27","P072",11,3,3,"P","72",2
"27","P000",12,3,4,"P","0",-1
"28","Z000",1,1,1,"Z","0",4
"28","Z072",2,1,2,"Z","72",-3
"28","Z024",3,1,3,"Z","24",-5
"28","Z216",4,1,4,"Z","216",-3
"28","P024",5,2,1,"P","24",6
"28","P216",6,2,2,"P","216",4
"28","P072",7,2,3,"P","72",4
"28","P000",8,2,4,"P","0",3
"28","N024",9,3,1,"N","24",-8
"28","N000",10,3,2,"N","0",-8
"28","N216",11,3,3,"N","216",-7
"28","N072",12,3,4,"N","72",-5
"29","Z000",1,1,1,"Z","0",3
"29","Z024",2,1,2,"Z","24",5
"29","Z216",3,1,3,"Z","216",9
"29","Z072",4,1,4,"Z","72",7
"29","P072",5,2,1,"P","72",8
"29","P000",6,2,2,"P","0",7
"29","P216",7,2,3,"P","216",9
"29","P024",8,2,4,"P","24",6
"29","N072",9,3,1,"N","72",3
"29","N216",10,3,2,"N","216",6
"29","N024",11,3,3,"N","24",-6
"29","N000",12,3,4,"N","0",-9
"30","P072",1,1,1,"P","72",6
"30","P000",2,1,2,"P","0",3
"30","P216",3,1,3,"P","216",8
"30","P024",4,1,4,"P","24",2
"30","Z216",5,2,1,"Z","216",-3
"30","Z000",6,2,2,"Z","0",-2
"30","Z024",7,2,3,"Z","24",0
"30","Z072",8,2,4,"Z","72",4
"30","N072",9,3,1,"N","72",-6
"30","N216",10,3,2,"N","216",3
"30","N024",11,3,3,"N","24",-7
"30","N000",12,3,4,"N","0",-6
"31","Z072",1,1,1,"Z","72",-2
"31","Z000",2,1,2,"Z","0",0
"31","Z216",3,1,3,"Z","216",7
"31","Z024",4,1,4,"Z","24",0
"31","N216",5,2,1,"N","216",-3
"31","N072",6,2,2,"N","72",-6
"31","N000",7,2,3,"N","0",-7
"31","N024",8,2,4,"N","24",-6
"31","P024",9,3,1,"P","24",5
"31","P000",10,3,2,"P","0",3
"31","P072",11,3,3,"P","72",1
"31","P216",12,3,4,"P","216",1
"32","Z024",1,1,1,"Z","24",5
"32","Z216",2,1,2,"Z","216",6
"32","Z072",3,1,3,"Z","72",4
"32","Z000",4,1,4,"Z","0",-5
"32","N000",5,2,1,"N","0",-9
"32","N216",6,2,2,"N","216",2
"32","N024",7,2,3,"N","24",-5
"32","N072",8,2,4,"N","72",3
"32","P072",9,3,1,"P","72",7
"32","P000",10,3,2,"P","0",-4
"32","P024",11,3,3,"P","24",4
"32","P216",12,3,4,"P","216",8
"33","N072",1,1,1,"N","72",-5
"33","N024",2,1,2,"N","24",-3
"33","N000",3,1,3,"N","0",-10
"33","N216",4,1,4,"N","216",8
"33","Z024",5,2,1,"Z","24",1
"33","Z072",6,2,2,"Z","72",8
"33","Z216",7,2,3,"Z","216",7
"33","Z000",8,2,4,"Z","0",0
"33","P000",9,3,1,"P","0",1
"33","P024",10,3,2,"P","24",4
"33","P216",11,3,3,"P","216",9
"33","P072",12,3,4,"P","72",5
"34","Z024",1,1,1,"Z","24",-3
"34","Z072",2,1,2,"Z","72",-5
"34","Z000",3,1,3,"Z","0",-1
"34","Z216",4,1,4,"Z","216",-8
"34","N216",5,2,1,"N","216",-9
"34","N000",6,2,2,"N","0",-9
"34","N072",7,2,3,"N","72",-8
"34","N024",8,2,4,"N","24",-7
"34","P024",9,3,1,"P","24",5
"34","P072",10,3,2,"P","72",5
"34","P000",11,3,3,"P","0",6
"34","P216",12,3,4,"P","216",7
"35","Z216",1,1,1,"Z","216",-2
"35","Z000",2,1,2,"Z","0",2
"35","Z024",3,1,3,"Z","24",4
"35","Z072",4,1,4,"Z","72",0
"35","P216",5,2,1,"P","216",5
"35","P024",6,2,2,"P","24",8
"35","P072",7,2,3,"P","72",2
"35","P000",8,2,4,"P","0",-1
"35","N072",9,3,1,"N","72",-8
"35","N024",10,3,2,"N","24",-6
"35","N216",11,3,3,"N","216",-3
"35","N000",12,3,4,"N","0",-2
"36","Z024",1,1,1,"Z","24",7
"36","Z216",2,1,2,"Z","216",10
"36","Z072",3,1,3,"Z","72",1
"36","Z000",4,1,4,"Z","0",-4
"36","P024",5,2,1,"P","24",7
"36","P072",6,2,2,"P","72",8
"36","P216",7,2,3,"P","216",7
"36","P000",8,2,4,"P","0",5
"36","N072",9,3,1,"N","72",-1
"36","N216",10,3,2,"N","216",-7
"36","N024",11,3,3,"N","24",-7
"36","N000",12,3,4,"N","0",-9
"37","N072",1,1,1,"N","72",-6
"37","N216",2,1,2,"N","216",-7
"37","N000",3,1,3,"N","0",-9
"37","N024",4,1,4,"N","24",-6
"37","P000",5,2,1,"P","0",4
"37","P216",6,2,2,"P","216",2
"37","P024",7,2,3,"P","24",4
"37","P072",8,2,4,"P","72",6
"37","Z000",9,3,1,"Z","0",0
"37","Z024",10,3,2,"Z","24",2
"37","Z216",11,3,3,"Z","216",0
"37","Z072",12,3,4,"Z","72",-3
"38","Z216",1,1,1,"Z","216",8
"38","Z024",2,1,2,"Z","24",2
"38","Z072",3,1,3,"Z","72",6
"38","Z000",4,1,4,"Z","0",-3
"38","N000",5,2,1,"N","0",-9
"38","N024",6,2,2,"N","24",-7
"38","N216",7,2,3,"N","216",8
"38","N072",8,2,4,"N","72",0
"38","P072",9,3,1,"P","72",8
"38","P000",10,3,2,"P","0",8
"38","P024",11,3,3,"P","24",7
"38","P216",12,3,4,"P","216",9
"39","N024",1,1,1,"N","24",-4
"39","N216",2,1,2,"N","216",7
"39","N000",3,1,3,"N","0",-9
"39","N072",4,1,4,"N","72",-2
"39","P072",5,2,1,"P","72",5
"39","P024",6,2,2,"P","24",4
"39","P000",7,2,3,"P","0",2
"39","P216",8,2,4,"P","216",8
"39","Z000",9,3,1,"Z","0",-5
"39","Z024",10,3,2,"Z","24",0
"39","Z216",11,3,3,"Z","216",6
"39","Z072",12,3,4,"Z","72",2
"40","P072",1,1,1,"P","72",9
"40","P000",2,1,2,"P","0",0
"40","P024",3,1,3,"P","24",5
"40","P216",4,1,4,"P","216",9
"40","N024",5,2,1,"N","24",-4
"40","N072",6,2,2,"N","72",-4
"40","N000",7,2,3,"N","0",-9
"40","N216",8,2,4,"N","216",6
"40","Z072",9,3,1,"Z","72",3
"40","Z024",10,3,2,"Z","24",5
"40","Z000",11,3,3,"Z","0",0
"40","Z216",12,3,4,"Z","216",7
"41","N000",1,1,1,"N","0",-9
"41","N072",2,1,2,"N","72",-9
"41","N216",3,1,3,"N","216",-9
"41","N024",4,1,4,"N","24",-9
"41","P024",5,2,1,"P","24",4
"41","P000",6,2,2,"P","0",4
"41","P216",7,2,3,"P","216",3
"41","P072",8,2,4,"P","72",4
"41","Z000",9,3,1,"Z","0",-5
"41","Z216",10,3,2,"Z","216",-7
"41","Z072",11,3,3,"Z","72",-2
"41","Z024",12,3,4,"Z","24",-2
"42","P024",1,1,1,"P","24",8
"42","P000",2,1,2,"P","0",7
"42","P216",3,1,3,"P","216",9
"42","P072",4,1,4,"P","72",6
"42","Z000",5,2,1,"Z","0",-3
"42","Z024",6,2,2,"Z","24",-1
"42","Z216",7,2,3,"Z","216",8
"42","Z072",8,2,4,"Z","72",2
"42","N072",9,3,1,"N","72",-7
"42","N000",10,3,2,"N","0",-9
"42","N024",11,3,3,"N","24",-4
"42","N216",12,3,4,"N","216",5
"43","Z000",1,1,1,"Z","0",2
"43","Z072",2,1,2,"Z","72",9
"43","Z216",3,1,3,"Z","216",8
"43","Z024",4,1,4,"Z","24",0
"43","P072",5,2,1,"P","72",4
"43","P024",6,2,2,"P","24",3
"43","P216",7,2,3,"P","216",6
"43","P000",8,2,4,"P","0",3
"43","N000",9,3,1,"N","0",-9
"43","N024",10,3,2,"N","24",-6
"43","N072",11,3,3,"N","72",0
"43","N216",12,3,4,"N","216",4
"44","N216",1,1,1,"N","216",-9
"44","N072",2,1,2,"N","72",-5
"44","N024",3,1,3,"N","24",-6
"44","N000",4,1,4,"N","0",4
"44","P000",5,2,1,"P","0",6
"44","P024",6,2,2,"P","24",7
"44","P072",7,2,3,"P","72",5
"44","P216",8,2,4,"P","216",8
"44","Z024",9,3,1,"Z","24",-4
"44","Z072",10,3,2,"Z","72",-8
"44","Z000",11,3,3,"Z","0",5
"44","Z216",12,3,4,"Z","216",-3
"45","P000",1,1,1,"P","0",4
"45","P072",2,1,2,"P","72",7
"45","P216",3,1,3,"P","216",8
"45","P024",4,1,4,"P","24",4
"45","Z072",5,2,1,"Z","72",-2
"45","Z000",6,2,2,"Z","0",-2
"45","Z024",7,2,3,"Z","24",-1
"45","Z216",8,2,4,"Z","216",8
"45","N000",9,3,1,"N","0",-9
"45","N072",10,3,2,"N","72",-4
"45","N216",11,3,3,"N","216",2
"45","N024",12,3,4,"N","24",-3
